,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_normalized
2198,2022,SE,Data Science & Machine Learning,120000.0,North America,0,North America,M,0.3735734811254593
2199,2022,SE,Data Analysis & Analytics,169000.0,North America,0,North America,M,0.5430651531175658
2200,2022,SE,Data Analysis & Analytics,110600.0,North America,0,North America,M,0.34105875221268783
2201,2022,MI,Data Analysis & Analytics,80000.0,North America,100,North America,L,0.23521293256047437
2202,2022,SE,Data Engineering & Infrastructure,185900.0,North America,0,North America,M,0.6015224848862719
2203,2022,SE,Data Engineering & Infrastructure,129300.0,North America,0,North America,M,0.40574230866681826
2204,2022,SE,Data Analysis & Analytics,135000.0,North America,0,North America,M,0.4254586868373286
2205,2022,SE,Data Analysis & Analytics,110000.0,North America,0,North America,M,0.33898334398421304
2206,2022,MI,Data Analysis & Analytics,155000.0,North America,0,North America,M,0.4946389611198211
2207,2022,MI,Data Analysis & Analytics,140000.0,North America,0,North America,M,0.44275375540795175
2208,2022,SE,Data Engineering & Infrastructure,205000.0,North America,100,North America,M,0.6675896468260523
2209,2022,SE,Data Engineering & Infrastructure,150000.0,North America,100,North America,M,0.47734389254919796
2210,2022,SE,Data Engineering & Infrastructure,179500.0,North America,0,North America,M,0.5793847971158743
2211,2022,SE,Data Engineering & Infrastructure,134000.0,North America,0,North America,M,0.421999673123204
2212,2022,MI,Data Science & Machine Learning,180000.0,North America,0,North America,M,0.5811143039729366
2213,2022,MI,Data Science & Machine Learning,120000.0,North America,0,North America,M,0.3735734811254593
2214,2022,SE,Data Science & Machine Learning,185900.0,North America,0,North America,M,0.6015224848862719
2215,2022,SE,Data Science & Machine Learning,129300.0,North America,0,North America,M,0.40574230866681826
2216,2022,SE,Data Science & Machine Learning,175000.0,North America,100,North America,M,0.5638192354023136
2217,2022,SE,Data Science & Machine Learning,145000.0,North America,100,North America,M,0.46004882397857483
2218,2022,SE,Data Engineering & Infrastructure,235000.0,North America,100,North America,M,0.7713600582497909
2219,2022,SE,Data Engineering & Infrastructure,175000.0,North America,100,North America,M,0.5638192354023136
2220,2022,EN,Data Science & Machine Learning,27317.0,Europe,50,Europe,L,0.05298171305924685
2221,2022,MI,Data Engineering & Infrastructure,160000.0,North America,100,North America,M,0.5119340296904442
2222,2022,MI,Data Engineering & Infrastructure,90000.0,North America,100,North America,M,0.2698030697017206
2223,2022,SE,Data Engineering & Infrastructure,68293.0,Europe,0,Europe,M,0.1947182590092174
2224,2022,SE,Data Engineering & Infrastructure,36773.0,Europe,0,Europe,M,0.0856901467400093
2225,2022,SE,Data Engineering & Infrastructure,145000.0,North America,0,North America,M,0.46004882397857483
2226,2022,SE,Data Engineering & Infrastructure,115000.0,North America,0,North America,M,0.35627841255483617
2227,2022,MI,Data Engineering & Infrastructure,165000.0,North America,0,North America,M,0.5292290982610673
2228,2022,MI,Data Engineering & Infrastructure,135000.0,North America,0,North America,M,0.4254586868373286
2229,2022,SE,Data Engineering & Infrastructure,168400.0,North America,0,North America,M,0.540989744889091
2230,2022,SE,Data Engineering & Infrastructure,105200.0,North America,0,North America,M,0.32238007815641484
2231,2022,MI,Data Science & Machine Learning,86193.0,Europe,100,Europe,M,0.25663460449204817
2232,2022,MI,Data Science & Machine Learning,49253.0,Europe,100,Europe,M,0.12885863789228458
2233,2022,SE,Data Engineering & Infrastructure,200000.0,North America,0,North America,M,0.6502945782554291
2234,2022,SE,Data Engineering & Infrastructure,160000.0,North America,0,North America,M,0.5119340296904442
2235,2022,SE,Data Science & Machine Learning,47280.0,Europe,0,Europe,M,0.1220340038343167
2236,2022,SE,Data Science & Machine Learning,37824.0,Europe,0,Europe,M,0.08932557015355427
2237,2022,SE,Data Science & Machine Learning,198800.0,North America,0,North America,M,0.6461437617984795
2238,2022,SE,Data Science & Machine Learning,122600.0,North America,0,North America,M,0.3825669167821833
2239,2022,MI,Business Intelligence (BI),105066.0,Europe,50,Europe,M,0.3219165703187222
2240,2022,SE,Data Analysis & Analytics,130000.0,North America,0,North America,M,0.4081636182667055
2241,2022,SE,Data Analysis & Analytics,100000.0,North America,0,North America,M,0.30439320684296683
2242,2022,MI,Data Analysis & Analytics,104663.0,Europe,0,Europe,M,0.32052258779192994
2243,2022,MI,Data Analysis & Analytics,73880.0,Europe,0,Europe,M,0.21404376863003166
2244,2022,SE,Data Engineering & Infrastructure,125000.0,North America,100,North America,M,0.3908685496960824
2245,2022,SE,Data Engineering & Infrastructure,110000.0,North America,100,North America,M,0.33898334398421304
2246,2022,MI,Data Analysis & Analytics,165000.0,North America,0,North America,M,0.5292290982610673
2247,2022,MI,Data Analysis & Analytics,124000.0,North America,0,North America,M,0.38740953598195776
2248,2022,SE,Data Science & Machine Learning,148000.0,North America,100,North America,M,0.47042586512094875
2249,2022,SE,Data Science & Machine Learning,107000.0,North America,100,North America,M,0.32860630284183917
2250,2022,MI,Data Analysis & Analytics,150000.0,North America,0,North America,M,0.47734389254919796
2251,2022,MI,Data Analysis & Analytics,100000.0,North America,0,North America,M,0.30439320684296683
2252,2022,EN,Data Engineering & Infrastructure,160000.0,North America,0,North America,M,0.5119340296904442
2253,2022,EN,Data Engineering & Infrastructure,135000.0,North America,0,North America,M,0.4254586868373286
2254,2022,MI,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
2255,2022,MI,Data Engineering & Infrastructure,95000.0,North America,0,North America,M,0.2870981382723437
2256,2022,SE,Data Engineering & Infrastructure,153600.0,North America,0,North America,M,0.4897963419200466
2257,2022,SE,Data Engineering & Infrastructure,106800.0,North America,0,North America,M,0.32791450009901424
2258,2022,MI,Data Analysis & Analytics,100000.0,North America,0,North America,M,0.30439320684296683
2259,2022,MI,Data Analysis & Analytics,65000.0,North America,0,North America,M,0.18332772684860502
